RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.009D+02  3.204D+01
    1    2     1     0  ---    0  4.9D-03  1.0D+00  1.747D+00  2.794D+00
    2    4     0     0  con    1  5.0D+00  5.4D-02  1.482D+00  2.686D+00
    3    5     0     0  con    0  1.0D+00  3.3D-01  5.465D-01  2.293D+00
    4    6     0     0  con    0  1.0D+00  2.2D-01  2.609D-01  2.176D+00
    5    7     0     0  con    0  1.0D+00  2.5D-01  1.325D-01  2.112D+00
    6    8     0     0  con    0  1.0D+00  2.2D-01  7.449D-02  2.087D+00
    7    9     0     0  con    0  1.0D+00  2.3D-01  4.279D-02  2.074D+00
    8   10     0     0  con    0  1.0D+00  3.8D-01  1.775D-01  2.070D+00
    9   11     0     0  con    0  1.0D+00  1.5D-01  6.677D-02  2.062D+00
   10   12     0     0  con    0  1.0D+00  1.3D-01  3.934D-02  2.059D+00
   11   13     0     0  con    0  1.0D+00  5.3D-01  1.039D-01  2.056D+00
   12   14     0     0  con    0  1.0D+00  2.8D-01  1.283D-01  2.055D+00
   13   15     0     0  con    0  1.0D+00  3.8D-02  2.619D-02  2.054D+00
   14   16     0     0  con    0  1.0D+00  1.1D-01  2.632D-02  2.054D+00
   15   17     0     0  con    0  1.0D+00  2.6D-01  1.787D-02  2.053D+00
   16   18     0     0  con    0  1.0D+00  4.7D-01  2.654D-02  2.052D+00
   17   19     0     0  con    0  1.0D+00  7.4D-01  1.396D-02  2.050D+00
   18   20     0     0  con    0  1.0D+00  5.2D-01  8.180D-02  2.050D+00
   19   22     0     0  con    1  5.0D-01  1.1D-01  4.812D-03  2.050D+00
   20   23     0     0  con    0  1.0D+00  4.3D-02  4.440D-03  2.050D+00
   21   24     0     0  con    0  1.0D+00  2.0D-01  3.195D-03  2.050D+00
   22   25     0     0  con    0  1.0D+00  8.3D-01  3.105D-03  2.049D+00
   23   27     0     0  con    1  3.3D-01  2.0D-01  4.032D-03  2.049D+00
   24   28     0     0  con    0  1.0D+00  7.7D-01  5.302D-03  2.049D+00
   25   29     0     0  con    0  1.0D+00  6.4D-01  1.139D-03  2.049D+00
   26   30     0     0  con    0  1.0D+00  9.3D-01  1.187D-03  2.049D+00
   27   31     0     0  con    0  1.0D+00  1.2D+00  1.384D-03  2.049D+00
   28   32     0     0  con    0  1.0D+00  1.2D+00  9.264D-04  2.049D+00
   29   33     0     0  con    0  1.0D+00  1.4D+00  9.568D-03  2.049D+00
   30   35     0     0  con    1  4.8D-01  1.3D+00  6.914D-03  2.049D+00
   31   36     0     0  con    0  1.0D+00  1.1D+00  2.878D-03  2.049D+00
   32   37     0     0  con    0  1.0D+00  2.0D+00  4.328D-04  2.049D+00
   33   38     0     0  con    0  1.0D+00  1.6D+00  5.301D-04  2.049D+00
   34   39     0     0  con    0  1.0D+00  2.8D+00  2.386D-03  2.049D+00
   35   40     0     0  con    0  1.0D+00  2.2D+00  7.533D-04  2.049D+00
   36   41     0     0  con    0  1.0D+00  2.0D+00  2.362D-04  2.049D+00
   37   42     0     0  con    0  1.0D+00  2.3D+00  4.567D-04  2.049D+00
   38   43     0     0  con    0  1.0D+00  6.1D+00  4.373D-04  2.049D+00
   39   45     0     0  con    1  1.3D-01  1.2D-01  5.471D-04  2.049D+00
   40   47     0     0  con    1  4.3D-01  4.4D-01  1.910D-04  2.049D+00
   41   50     0     0  con    2  4.2D-03  1.7D-01  9.632D-05  2.049D+00

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.009D+02  3.204D+01
    1    2     1     0  ---    0  4.9D-03  1.0D+00  1.747D+00  2.794D+00
    2    4     0     0  con    1  5.0D+00  5.4D-02  1.482D+00  2.686D+00
    3    5     0     0  con    0  1.0D+00  3.3D-01  5.465D-01  2.293D+00
    4    6     0     0  con    0  1.0D+00  2.2D-01  2.609D-01  2.176D+00
    5    7     0     0  con    0  1.0D+00  2.5D-01  1.325D-01  2.112D+00
    6    8     0     0  con    0  1.0D+00  2.2D-01  7.449D-02  2.087D+00
    7    9     0     0  con    0  1.0D+00  2.3D-01  4.279D-02  2.074D+00
    8   10     0     0  con    0  1.0D+00  3.8D-01  1.775D-01  2.070D+00
    9   11     0     0  con    0  1.0D+00  1.5D-01  6.677D-02  2.062D+00
   10   12     0     0  con    0  1.0D+00  1.3D-01  3.934D-02  2.059D+00
